R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds,R_sapm,B_sapm,R_str_def,B_str_def,R_td_def,B_td_def,grapple_ratio_diff,striker_vs_wrestler,wrestler_vs_striker,southpaw_adv_diff,both_southpaw,weightclass_rank_diff,div_womens_strawweight,div_womens_flyweight,div_womens_bantamweight,div_womens_featherweight,div_flyweight,div_bantamweight,div_featherweight,div_lightweight,div_welterweight,div_middleweight,div_light_heavyweight,div_heavyweight,R_head_acc,B_head_acc,R_body_acc,B_body_acc,R_leg_acc,B_leg_acc,R_head_def,B_head_def,R_body_def,B_body_def,R_dist_def,B_dist_def,R_ground_def,B_ground_def,R_elo,B_elo,R_glicko,B_glicko,R_glicko_rd,B_glicko_rd,R_recent_win_rate,B_recent_win_rate,R_recent_finish_rate,B_recent_finish_rate,R_sos,B_sos,R_str_acc_slope,B_str_acc_slope,R_splm_slope,B_splm_slope,R_td_acc_slope,B_td_acc_slope,R_ko_rate,B_ko_rate,R_sub_rate,B_sub_rate,R_dec_rate,B_dec_rate,R_days_since_last,B_days_since_last,R_ko_vuln,B_ko_vuln,R_kd_received,B_kd_received,R_ewma_str_acc,B_ewma_str_acc,R_ewma_td_acc,B_ewma_td_acc,R_ewma_head_acc,B_ewma_head_acc,R_ewma_body_acc,B_ewma_body_acc,R_ewma_dist_acc,B_ewma_dist_acc,R_str_acc_var,B_str_acc_var,R_opp_adj_splm,B_opp_adj_splm,R_opp_adj_td_avg,B_opp_adj_td_avg,R_opp_adj_head_acc,B_opp_adj_head_acc,R_opp_adj_body_acc,B_opp_adj_body_acc,R_opp_adj_dist_acc,B_opp_adj_dist_acc,R_ewma_splm,B_ewma_splm,R_ewma_td_avg,B_ewma_td_avg,R_ewma_sapm,B_ewma_sapm,R_ewma_clinch_per,B_ewma_clinch_per,R_ewma_sub_att,B_ewma_sub_att,R_ewma_kd_received,B_ewma_kd_received,R_ewma_reversals,B_ewma_reversals,R_career_reversals,B_career_reversals,R_ewma_ctrl_r1,B_ewma_ctrl_r1,R_ewma_splm_r1,B_ewma_splm_r1,R_ewma_reversals_r1,B_ewma_reversals_r1
Belal Muhammad,Gabriel Bonfim,-116.0,-102.0,,,2026-06-06,"Las Vegas, Nevada",USA,Blue,0,Welterweight,MALE,3,0,4,0,4.5,0.47,1.29,3.61,0.54,4,1.0,14,0,0,1,1,1,3,0,6.0,Orthodox,185.4,182.9,170.0,2,0,0,4.43,0.43,0.14,2.14,0.37,6,6.0,67,2,0,1,11,2,1,0,15.0,Orthodox,180.3,182.9,170.0,37.91,28.79,2,-4,2,9.0,5.0,53,2,1,-2,-5.1,0.0,9.12,-0.07,-1.15,-1.47,0.0,11.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,Mike Bell 45 - 50. Derek Cleary 45 - 50. Sal D'amato 45 - 50.,5.0,0:00,300.0,,,,,,,3.78,3.43,55.95,62.02,90.0,76.47,-0.1194,0.3001,0.1807,0,0,-6.0,0,0,0,0,0,0,0,0,1,0,0,0,39.0,35.12,67.02,76.79,85.19,82.81,66.87,68.7,30.86,49.25,57.47,66.67,35.09,33.33,1573.3587,1516.692,1802.3896,1500.0,181.8637,350.0,0.3333,1.0,0.0,0.6667,1587.1022,1481.7578,0.0,0.012,0.012,-0.351,-0.009,-0.06,0.1333,0.1667,0.0667,0.5,0.8,0.3333,196.0,210.0,1.0,1.0,6.0,1.0,0.4388,0.5037,0.2269,0.4037,0.4031,0.3309,0.7773,0.7693,0.4178,0.4901,0.0719,0.0569,4.7479,4.2022,2.2569,4.5537,44.9233,33.8616,77.3634,74.5951,41.7377,38.6731,4.3301,4.4903,1.5795,3.1368,4.5384,3.8619,0.2466,0.3345,0.0353,1.7292,0.0004,0.0073,0.0,0.0,0.0,0.0,0.1361,0.1597,4.2829,3.9404,0.0,0.0
Brendan Allen,Edmen Shahbazyan,-205.0,172.0,,,2026-06-06,"Las Vegas, Nevada",USA,Red,0,Middleweight,MALE,3,0,3,0,3.64,0.48,0.41,1.63,0.38,4,5.0,27,0,0,1,1,6,1,0,9.0,Orthodox,188.0,190.5,185.0,0,2,0,3.58,0.53,1.08,1.51,0.44,7,4.0,45,0,0,1,4,2,7,0,14.0,Orthodox,188.0,190.5,185.0,30.44,28.54,0,-1,3,5.0,-1.0,18,0,-4,6,0.0,0.0,1.9,-0.06,0.67,-0.11,0.0,15.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,Junichiro Kamijo 27 - 30. Ron McCarthy 27 - 30. Sal D'amato 28 - 29.,3.0,0:00,300.0,,,,,,,3.92,3.6,48.13,48.72,54.29,66.0,-0.0126,0.2175,0.2049,0,0,-11.0,0,0,0,0,0,0,0,0,0,1,0,0,43.96,40.81,81.54,75.0,93.14,80.56,51.86,54.37,25.9,30.77,50.47,60.27,29.17,18.4,1572.4409,1492.8987,1561.7518,1508.6701,169.215,169.6625,0.6667,1.0,0.3333,0.6667,1517.6516,1438.7662,-0.0,-0.006,-0.098,0.009,-0.007,-0.003,0.1429,0.6667,0.5,0.1111,0.3571,0.2222,231.0,245.0,2.0,3.0,2.0,0.0,0.5567,0.4769,0.6277,0.0745,0.4951,0.4141,0.8158,0.8271,0.3737,0.4592,0.0435,0.0917,3.4384,3.4005,1.7259,1.4778,42.1056,37.2583,76.3738,70.5924,44.7258,40.7113,3.1424,4.5597,1.4721,0.3696,3.088,2.5948,0.2041,0.2495,0.731,0.1214,0.0007,0.0,1.0122,0.0131,14.0,1.0,0.3212,0.0797,2.5703,4.4835,0.0996,0.0
Fares Ziam,Tom Nolan,-320.0,260.0,,,2026-06-06,"Las Vegas, Nevada",USA,Blue,0,Lightweight,MALE,3,0,4,0,5.74,0.45,1.92,0.77,0.22,4,1.0,9,0,0,0,2,1,1,0,4.0,Southpaw,190.5,185.4,155.0,0,6,0,2.87,0.53,0.46,1.73,0.41,6,2.0,27,0,0,1,4,2,0,0,8.0,Orthodox,185.4,190.5,155.0,29.21,26.25,0,2,2,4.0,1.0,18,0,1,-1,-5.1,5.1,2.96,-2.88,-1.46,0.96,0.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,Mike Bell 28 - 29. Derek Cleary 28 - 29. Clemens Werner 28 - 29.,3.0,0:00,300.0,,,,,,,1.62,4.99,64.74,46.3,70.31,66.67,0.2578,0.0738,0.3316,-1,0,-2.0,0,0,0,0,0,0,0,1,0,0,0,0,42.23,34.81,87.01,62.89,92.86,77.78,79.49,62.69,34.31,28.21,69.83,47.71,38.1,38.71,1527.1306,1456.9656,1500.0,1205.0712,350.0,299.5462,1.0,1.0,0.6667,0.3333,1466.2412,1383.3042,0.012,-0.015,0.051,-0.243,0.051,0.066,0.25,0.25,0.0,0.25,0.75,0.5,182.0,252.0,0.0,1.0,0.0,2.0,0.6209,0.4501,0.4509,0.4159,0.5335,0.3592,0.7912,0.5563,0.5614,0.4328,0.0418,0.0804,2.6858,4.9501,1.3808,0.852,40.0486,28.8974,79.8633,60.1381,41.1821,35.2489,3.026,6.3933,2.8349,1.6491,1.0682,5.3547,0.3925,0.7319,1.294,2.3315,0.0,0.1019,0.8986,0.0,8.0,0.0,0.4383,0.1261,2.6035,6.4274,0.0328,0.0
Bryce Mitchell,Santiago Luna,-142.0,112.0,,,2026-06-06,"Las Vegas, Nevada",USA,Red,0,Bantamweight,MALE,3,0,2,0,8.2,0.55,0.84,4.21,0.83,2,0.0,4,0,0,0,1,1,0,0,2.0,Orthodox,175.3,188.0,135.0,0,1,0,2.27,0.59,1.19,3.24,0.36,6,3.0,30,0,0,0,6,1,1,0,9.0,Southpaw,177.8,177.8,135.0,31.67,21.83,0,-1,4,7.0,3.0,26,0,0,1,2.5,-10.2,9.84,-5.94,0.34,-0.98,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB,Arm Triangle From Side Control,3.0,0:00,292.0,,,,,,,1.64,4.29,60.04,50.0,33.33,100.0,0.2488,0.1398,0.3885,1,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,53.25,34.21,65.35,100.0,86.67,100.0,67.76,52.63,39.24,25.0,66.04,54.55,24.19,0.0,1529.6855,1466.3858,1770.764,1811.59,285.9109,148.4177,0.6667,1.0,0.6667,0.5,1481.6838,1372.0126,0.003,0.0,-0.009,0.0,-0.015,0.0,0.1111,0.5,0.1111,0.0,0.7778,0.5,315.0,98.0,1.0,0.0,4.0,0.0,0.5667,0.4963,0.3674,0.6,0.4305,0.4675,0.5724,0.783,0.4774,0.4312,0.2878,0.1429,2.3271,6.9103,3.4038,3.8295,54.059,38.4202,66.7373,73.9921,47.9961,37.4854,2.0523,7.3829,2.557,3.0,1.7043,3.9543,0.2866,1.3886,0.1973,0.6,0.1041,0.0,0.3417,0.0,2.0,0.0,0.3691,0.2119,2.4103,5.2629,0.0,0.0
Iwo Baraniewski,Junior Tafa,-460.0,360.0,,,2026-06-06,"Las Vegas, Nevada",USA,Red,0,Light Heavyweight,MALE,3,0,1,0,3.62,0.53,,,,1,5.0,14,0,0,0,0,3,0,0,3.0,Orthodox,190.5,190.5,205.0,0,2,0,16.41,0.71,,,,2,0.0,2,0,0,0,0,2,0,0,2.0,Orthodox,182.9,185.4,205.0,27.54,29.71,0,1,1,-1.0,-5.0,-12,0,-1,0,-7.6,-5.1,-2.17,12.79,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Kick to Leg At Distance,1.0,1:25,85.0,,,,,,,20.22,2.55,43.4,51.97,100.0,70.73,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,66.67,46.82,75.0,83.33,100.0,100.0,38.3,59.48,100.0,31.58,45.71,54.38,0.0,45.45,1466.1757,1375.5019,1433.1523,1403.2321,176.8867,221.1015,1.0,0.3333,1.0,1.0,1371.6978,1376.237,0.0,0.008,0.0,0.015,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,77.0,35.0,0.0,1.0,1.0,1.0,0.7365,0.6024,0.0,0.0,0.7167,0.5568,0.3,0.5662,0.4114,0.5148,0.0578,0.0564,13.9663,2.8096,0.0,0.0,55.0827,37.4767,70.086,66.0798,31.7953,34.2323,18.7897,5.5098,0.0,0.0,8.0899,3.6205,1.618,0.4066,0.0,0.0,0.2697,0.0073,0.0,0.2456,0.0,1.0,0.1352,0.0323,18.7897,5.4644,0.0,0.0308
Matt Schnell,Alessandro Costa,340.0,-430.0,,,2026-06-06,"Las Vegas, Nevada",USA,Blue,0,Catch Weight,MALE,3,0,1,0,3.91,0.48,0.5,0.99,0.27,1,3.0,15,0,0,0,0,3,0,0,3.0,Orthodox,162.6,170.2,,1,0,0,4.07,0.4,1.21,0.6,0.45,4,9.0,30,0,0,2,2,0,3,0,7.0,Orthodox,172.7,177.8,,36.39,30.35,1,-1,3,4.0,6.0,15,0,-3,3,10.1,7.6,6.04,0.16,0.71,-0.39,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KO/TKO,Punch to Head At Distance,1.0,2:28,148.0,,,,,,,4.17,3.65,55.26,53.05,43.48,80.0,-0.0736,0.1761,0.1025,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34.7,39.51,63.0,66.04,78.95,74.19,61.56,62.7,27.78,23.33,60.67,60.31,10.39,28.89,1395.1585,1397.9645,1591.6572,1636.1099,133.4,194.1486,0.3333,0.6667,0.6667,1.0,1430.4207,1386.7782,0.006,-0.001,-0.048,-0.112,0.003,0.014,0.0,1.0,0.4286,0.0,0.5714,0.0,210.0,63.0,5.0,2.0,6.0,2.0,0.43,0.439,0.3682,0.3226,0.3306,0.3659,0.8538,0.5905,0.37,0.4144,0.1178,0.1818,4.1878,3.3561,0.5001,0.7046,35.4937,34.6344,69.427,62.4044,36.307,32.47,3.2873,4.2199,1.8885,1.5507,3.3359,3.9688,0.1905,0.2025,0.9115,0.6777,0.0447,0.0079,2.0195,0.0,3.0,0.0,0.0592,0.0117,2.9969,3.7005,0.1239,0.0
Marcus McGhee,John Yannis,-600.0,390.0,,,2026-06-06,"Las Vegas, Nevada",USA,Red,0,Bantamweight,MALE,3,0,1,0,3.3,0.54,,,,1,1.0,2,0,0,0,0,1,0,0,1.0,Southpaw,170.2,177.8,135.0,1,0,0,5.5,0.45,0.31,0.31,0.14,4,1.0,11,0,0,0,1,2,1,0,4.0,Orthodox,172.7,175.3,135.0,36.08,31.92,1,-1,3,3.0,0.0,9,0,1,1,2.5,-2.5,4.16,2.2,,,0.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,U-DEC,Ron McCarthy 27 - 30. Tony Weeks 27 - 30. Mike Bell 28 - 29.,3.0,0:00,300.0,,,,,,,2.83,0.55,64.91,71.43,100.0,0.0,0.0534,0.0,0.0534,-1,0,-1.0,0,0,0,0,0,1,0,0,0,0,0,0,41.39,0.0,73.91,0.0,80.0,0.0,75.66,71.43,53.12,0.0,65.38,66.67,0.0,100.0,1494.8003,1406.3247,1500.0,1500.0,350.0,350.0,0.6667,0.5,0.3333,1.0,1429.885,1387.0076,-0.015,0.0,-0.187,0.0,-0.038,0.0,0.5,1.0,0.25,0.0,0.25,0.0,315.0,49.0,0.0,0.0,0.0,0.0,0.4488,0.3706,0.0569,0.0,0.3985,0.3,0.5526,0.6,0.4379,0.3556,0.065,0.4367,5.3842,2.701,0.2276,0.0,39.9979,31.9569,62.1306,69.2207,37.9563,38.3008,5.2981,4.638,0.3017,0.0,3.7913,1.5443,0.1779,0.0,0.1613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0649,0.0331,5.2044,4.638,0.0,0.0
Bruno Silva,Edgar Chairez,-112.0,-104.0,,,2026-06-06,"Las Vegas, Nevada",USA,Blue,0,Flyweight,MALE,3,0,2,0,3.71,0.47,1.68,,,2,3.0,12,0,0,1,0,0,2,0,3.0,Orthodox,170.2,180.3,125.0,1,0,0,3.95,0.51,0.25,2.01,0.25,4,6.0,28,0,0,0,0,3,2,0,5.0,Orthodox,162.6,165.1,125.0,36.22,30.36,1,-2,2,2.0,3.0,16,0,3,0,-7.6,-15.2,5.86,0.23,-1.43,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB,Rear Naked Choke,1.0,4:13,253.0,,,,,,,4.55,5.0,52.31,40.06,63.16,22.22,0.3372,0.0,0.3372,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,39.93,34.95,74.02,67.74,84.04,76.92,58.48,46.05,30.25,38.3,54.82,43.85,31.58,25.86,1376.9775,1404.9933,1881.572,1700.1727,294.1654,248.7845,0.3333,0.6667,0.6667,0.3333,1451.2317,1402.6248,0.009,-0.009,0.135,0.288,-0.003,0.0,0.7778,0.0,0.2222,0.6667,0.0,0.3333,84.0,98.0,2.0,0.0,5.0,0.0,0.5477,0.4573,0.1698,0.0,0.4613,0.3513,0.7564,0.5366,0.5384,0.445,0.048,0.1289,3.8597,3.0618,2.1379,0.0,38.6602,27.2247,78.5148,71.1752,44.2213,35.4479,4.6321,3.9786,1.6666,0.0,5.2012,3.6394,0.1822,0.1435,0.3796,2.7177,0.0409,0.0,0.0,0.0481,0.0,1.0,0.107,0.0322,3.543,3.0846,0.0,0.0
Priscila Cachoeira,Chelsea Chandler,108.0,-136.0,,,2026-06-06,"Las Vegas, Nevada",USA,Blue,0,Women's Bantamweight,FEMALE,3,2,0,0,3.55,0.45,,0.87,0.6,1,3.0,11,0,0,0,1,1,0,0,2.0,Southpaw,172.7,172.7,135.0,2,0,0,4.43,0.44,,0.25,0.4,2,8.0,27,0,0,0,1,4,0,0,5.0,Orthodox,170.2,165.1,135.0,37.8,35.53,0,0,1,3.0,5.0,16,0,3,0,-2.5,-7.6,2.27,0.87,,-0.61,0.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB,Armbar From Mount,1.0,3:42,222.0,,,,,,,7.23,4.06,43.5,41.69,67.44,33.33,-0.1434,0.1863,0.0429,-1,0,1.0,0,0,1,0,0,0,0,0,0,0,0,0,38.87,39.1,70.91,70.59,80.0,80.0,47.26,53.64,27.86,27.06,51.12,47.97,13.31,40.0,1356.8309,1425.6982,1913.4872,1693.7037,135.9752,174.1933,0.3333,0.3333,0.6667,0.3333,1439.5193,1421.7893,-0.0,-0.0,0.201,0.004,0.021,-0.0,0.8,0.5,0.0,0.0,0.2,0.5,119.0,406.0,1.0,1.0,3.0,1.0,0.45,0.4408,0.1969,0.2085,0.3971,0.3637,0.822,0.6338,0.4359,0.3817,0.0528,0.0648,4.3107,3.3068,0.172,0.7769,37.7379,36.9363,68.3627,62.2699,41.1557,33.3206,7.3962,3.9854,0.3645,0.455,9.1283,7.285,0.0456,0.7042,0.0,0.0,0.1004,0.0171,0.0116,0.0,2.0,0.0,0.0119,0.1741,7.2441,3.7844,0.0,0.0
Jordan Leavitt,Joanderson Brito,140.0,-166.0,,,2026-06-06,"Las Vegas, Nevada",USA,Blue,0,Featherweight,MALE,3,0,1,0,2.2,0.49,1.26,3.25,0.67,5,3.0,19,0,0,0,1,3,2,0,6.0,Orthodox,172.7,182.9,145.0,0,2,0,2.29,0.58,0.89,3.12,0.33,2,3.0,17,0,0,1,1,2,2,0,6.0,Southpaw,175.3,180.3,145.0,31.01,31.32,0,1,-3,0.0,0.0,-2,0,-1,0,2.6,-2.6,-0.31,0.09,-0.37,-0.13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SUB,Guillotine Choke On Ground Ninja choke,1.0,4:19,259.0,,,,,,,1.89,2.57,56.96,41.86,30.0,56.25,-0.0196,0.2524,0.2328,1,0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,37.5,34.98,55.74,67.86,90.12,84.13,72.18,47.62,25.0,37.31,63.87,56.93,27.59,5.41,1455.4926,1490.1242,2085.6613,1777.1507,117.4052,114.9157,0.6667,0.3333,0.6667,0.0,1416.7941,1488.6119,-0.012,0.001,-0.102,-0.243,0.027,-0.019,0.3333,0.5,0.3333,0.3333,0.3333,0.1667,105.0,175.0,0.0,0.0,0.0,0.0,0.6388,0.4886,0.3822,0.555,0.5721,0.3583,0.3709,0.6533,0.498,0.4262,0.2439,0.1002,2.1228,2.1857,2.9028,3.1037,36.3108,38.5495,48.2499,63.7993,50.4863,39.1301,1.8328,2.3548,8.6331,4.1885,0.9906,1.9754,0.3261,0.4199,2.265,1.5524,0.0,0.0,0.7891,0.3422,2.0,1.0,0.6546,0.2791,1.8553,1.8223,0.0553,0.0
