fight_id,fighter_id,corner,kd,sig_str_landed,sig_str_atmpted,total_str_landed,total_str_atmpted,td_landed,td_atmpted,sub_att,ctrl,head_landed,head_atmpted,body_landed,body_atmpted,leg_landed,leg_atmpted,dist_landed,dist_atmpted,clinch_landed,clinch_atmpted,ground_landed,ground_atmpted,total_fight_time,height,reach,stance,dob,weight,date,body_acc,clinch_acc,dist_acc,ground_acc,head_acc,leg_acc,sig_str_acc,td_acc,total_str_acc,landed_body_per,landed_clinch_per,landed_dist_per,landed_ground_per,landed_head_per,landed_leg_per,losses,wins,outcome,sub_avg,td_avg,splm,sapm,str_def,td_def,opponent_id
423f32dd018ac218,efb96bf3e9ada36f,r,7,934,2142,1270,2542,11,28,2,1764,581,1652,178,265,175,225,801,1957,56,77,77,108,12670,172.7,170.2,Orthodox,1997-12-02,135.0,2026-05-30 00:00:00,67.16981132075472,72.72727272727273,40.92999489013797,71.29629629629629,35.16949152542373,77.77777777777779,43.604108309990664,39.285714285714285,49.96066089693155,0.1770429450014228,0.046841557934635764,0.858227167980008,0.09493127408535623,0.6340798096597572,0.18887724533882,5.0,11.0,r,0.1420678768745067,0.781373322809787,4.4230465666929755,3.9447513812154695,55.11853448275862,73.77049180327869,aa72b0f831d0bfe5
423f32dd018ac218,aa72b0f831d0bfe5,b,12,709,1315,867,1495,29,82,22,2593,429,945,197,264,83,106,535,1075,52,75,122,165,16205,165.1,172.7,Orthodox,1987-12-18,135.0,2026-05-30 00:00:00,74.62121212121212,69.33333333333334,49.76744186046512,73.93939393939394,45.3968253968254,78.30188679245283,53.91634980988593,35.36585365853659,57.993311036789294,0.3043762538913074,0.10167156724023692,0.7054142613606256,0.1929141713991375,0.5889516786754512,0.10667206743324138,7.0,14.0,NA,1.2218451095340945,1.6106140080222153,2.625115705029312,3.469299598889232,49.515086206896555,57.971014492753625,efb96bf3e9ada36f
a23d84f15207e459,8a65fd9ba31fd3f7,r,2,117,190,140,222,0,0,0,176,72,136,16,23,29,31,79,136,7,10,31,44,946,188.0,190.5,Orthodox,1998-08-16,205.0,2026-05-30 00:00:00,69.56521739130434,70.0,58.08823529411765,70.45454545454545,52.94117647058824,93.54838709677419,61.578947368421055,0.0,63.06306306306306,0.1576330532212885,0.06190476190476191,0.752859477124183,0.1852357609710551,0.5901960784313726,0.25217086834733893,1.0,3.0,NA,0.0,0.0,7.420718816067653,5.264270613107822,36.6412213740458,100.0,a495f599e787614f
a23d84f15207e459,a495f599e787614f,b,5,545,1020,732,1223,5,14,2,1988,443,903,57,69,45,48,416,846,74,110,55,64,8733,182.9,193.0,Orthodox,1987-10-18,205.0,2026-05-30 00:00:00,82.6086956521739,67.27272727272727,49.1725768321513,85.9375,49.05869324473976,93.75,53.431372549019606,35.714285714285715,59.8528209321341,0.12345073117244751,0.10193824479446882,0.7615883144269517,0.1364734407785794,0.8137870610267903,0.06276220780076214,7.0,10.0,b,0.20611473720371007,0.5152868430092752,3.7444177258674,3.9024390243902443,50.94991364421416,80.0,8a65fd9ba31fd3f7
f74e4afdf6ae29d1,f14cf73e51b29254,r,7,278,629,407,787,2,8,0,453,230,564,30,46,18,19,229,550,19,36,30,43,3767,190.5,213.4,Southpaw,1992-05-13,265.0,2026-05-30 00:00:00,65.21739130434783,52.77777777777778,41.63636363636364,69.76744186046511,40.78014184397163,94.73684210526315,44.19713831478537,25.0,51.715374841168995,0.07512101108679868,0.09649398789267138,0.7796462969432656,0.12385971516406298,0.8877725885423676,0.03710640037083373,3.0,8.0,r,0.0,0.47783382001592783,4.427926732147598,3.6156092381205203,55.83657587548638,75.0,17923f676f100e16
f74e4afdf6ae29d1,17923f676f100e16,b,1,62,88,129,159,3,10,0,431,47,71,13,14,2,3,30,54,7,7,25,27,970,200.7,210.8,Orthodox,1999-12-07,265.0,2026-05-30 00:00:00,92.85714285714286,100.0,55.55555555555556,92.5925925925926,66.19718309859155,66.66666666666666,70.45454545454545,30.0,81.13207547169812,0.190359477124183,0.1511437908496732,0.5449346405228758,0.30392156862745096,0.7965686274509803,0.013071895424836602,1.0,2.0,NA,0.0,2.783505154639175,3.8350515463917523,3.154639175257732,32.89473684210527,0.0,f14cf73e51b29254
00959e29e4a10e26,d33da8a3d82bdb62,r,0,38,116,68,148,0,0,0,25,27,99,8,13,3,4,38,115,0,1,0,0,1004,172.7,175.3,Orthodox,1993-10-31,135.0,2026-05-30 00:00:00,61.53846153846154,0.0,33.04347826086956,0.0,27.27272727272727,75.0,32.758620689655174,0.0,45.94594594594595,0.2184873949579832,0.0,1.0,0.0,0.6988795518207283,0.08263305322128851,2.0,0.0,r,0.0,0.0,2.270916334661355,3.52589641434263,52.03252032520326,50.0,5c84f673b7bb7c15
00959e29e4a10e26,5c84f673b7bb7c15,b,0,183,492,191,501,0,0,0,2,109,384,68,101,6,7,174,477,9,15,0,0,2700,175.3,175.3,Orthodox,1997-09-17,135.0,2026-05-30 00:00:00,67.32673267326733,60.0,36.477987421383645,0.0,28.385416666666668,85.71428571428571,37.19512195121951,0.0,38.12375249500998,0.3103448275862069,0.07471264367816093,0.9252873563218391,0.0,0.6607998084291188,0.028855363984674327,2.0,1.0,NA,0.0,0.0,4.066666666666667,3.311111111111111,59.83827493261455,62.5,d33da8a3d82bdb62
c1c9dfd0c0952f18,a845f0735bc67405,r,5,870,1983,1260,2414,25,60,13,3803,619,1631,152,230,99,122,615,1617,67,100,188,266,15641,180.3,185.4,Orthodox,1994-08-19,170.0,2026-05-30 00:00:00,66.08695652173913,67.0,38.03339517625232,70.67669172932331,37.95217657878602,81.14754098360656,43.872919818456886,41.66666666666667,52.19552609776304,0.1622244992276193,0.10022158335180072,0.7402530833612653,0.15952533328693397,0.7378185274959573,0.0999569732764234,8.0,15.0,r,0.7480340131705134,1.4385269484048335,3.3373825202992133,2.620037082028003,60.451650260567455,64.1025641025641,a53d30163304aa6e
c1c9dfd0c0952f18,a53d30163304aa6e,b,2,194,441,296,570,5,22,2,725,125,339,46,75,23,27,154,391,13,17,27,33,3073,182.9,193.0,Orthodox,1987-07-09,170.0,2026-05-30 00:00:00,61.33333333333333,76.47058823529412,39.38618925831202,81.81818181818183,36.87315634218289,85.18518518518519,43.99092970521542,22.727272727272727,51.92982456140351,0.3057761003944957,0.053514739229024944,0.8484126984126984,0.09807256235827665,0.5506134874040941,0.14361041220141027,3.0,4.0,NA,0.585746827204686,1.464367068011715,3.7878294825903027,3.4559062805076475,54.145077720207254,55.55555555555556,a845f0735bc67405
